STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-13,5.82,0,0,0,62,36,170,180,17,21,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-14,6.49,0,0,0,69,44,40,40,14.1,17.9,1,,,,1,,,1,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-15,8.72,0.03,0,0,63,49,330,330,21.9,29.1,1,,,,1,,1,1,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-16,14.32,0.57,0,0,53,40,330,340,28,34.9,1,,,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-17,9.17,0,0,0,53,34,330,340,23,30,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-18,9.84,0,0,0,56,44,170,170,21,25.1,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-19,10.07,0.51,0,0,70,51,190,190,32,40,1,,,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-20,20.58,0.03,0,0,66,41,280,320,33.1,49,0,,,,,,,,,1,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-21,7.83,0,0,0,58,39,260,270,17.9,29.1,0,,,,,,,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-22,11.41,0,0,0,51,40,330,40,21,25.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-23,6.26,0,0,0,51,34,330,340,15,17.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-24,6.93,0,0,0,52,37,350,350,17.9,21.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-25,11.86,0,0,0,54,34,220,190,23.9,30,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-26,9.4,0,0,0,71,48,230,240,23.9,32,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-27,6.26,0.01,0,0,58,49,30,30,14.1,16.1,0,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-28,12.3,0,0,0,74,46,340,340,29.1,34.9,1,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-29,10.07,0,0,0,53,37,330,330,21.9,28,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-30,8.5,0,0,0,49,35,40,90,15,19.9,0,,,,,,,,,,,,,,,,,
