START_DATE,CCN
2018-06-18,80
2018-06-19,88
2018-06-20,108
2018-06-21,92
2018-06-22,109
2018-06-23,103
2018-06-24,106
2018-06-25,103
2018-06-26,102
2018-06-27,118
2018-06-28,105
2018-06-29,99
2018-06-30,81
2018-07-01,90
2018-07-02,95
2018-07-03,87
2018-07-04,96
2018-07-05,81
2018-07-06,85
2018-07-07,104
2018-07-08,104
2018-07-09,87
2018-07-10,81
2018-07-11,63
2018-07-12,96
2018-07-13,124
2018-07-14,101
2018-07-15,121
2018-07-16,124
2018-07-17,98
2018-07-18,97
2018-07-19,105
2018-07-20,129
2018-07-21,76
2018-07-22,90
2018-07-23,119
2018-07-24,117
2018-07-25,100
2018-07-26,104
2018-07-27,134
2018-07-28,119
2018-07-29,118
2018-07-30,110
2018-07-31,101
2018-08-01,95
2018-08-02,78
2018-08-03,110
2018-08-04,114
2018-08-05,93
2018-08-06,101
2018-08-07,96
2018-08-08,92
2018-08-09,82
2018-08-10,95
2018-08-11,104
2018-08-12,104
2018-08-13,104
2018-08-14,111
2018-08-15,128
2018-08-16,128
2018-08-17,139
2018-08-18,100
2018-08-19,116
2018-08-20,105
2018-08-21,109
2018-08-22,103
2018-08-23,106
2018-08-24,131
2018-08-25,112
2018-08-26,129
2018-08-27,129
2018-08-28,106
2018-08-29,103
2018-08-30,102
2018-08-31,96
2018-09-01,87
2018-09-02,87
2018-09-03,104
2018-09-04,93
2018-09-05,114
2018-09-06,84
2018-09-07,104
2018-09-08,94
2018-09-09,103
2018-09-10,108
2018-09-11,107
2018-09-12,127
2018-09-13,105
2018-09-14,110
2018-09-15,112
2018-09-16,118
2018-09-17,106
2018-09-18,86
2018-09-19,94
2018-09-20,105
2018-09-21,129
2018-09-22,109
2018-09-23,122
2018-09-24,110
2018-09-25,93
2018-09-26,87
2018-09-27,108
2018-09-28,116
2018-09-29,119
2018-09-30,100
2018-10-01,98
2018-10-02,92
2018-10-03,81
2018-10-04,85
2018-10-05,125
2018-10-06,116
2018-10-07,110
2018-10-08,127
2018-10-09,123
2018-10-10,91
2018-10-11,93
2018-10-12,106
2018-10-13,121
2018-10-14,119
2018-10-15,125
2018-10-16,103
2018-10-17,105
2018-10-18,98
2018-10-19,103
2018-10-20,113
2018-10-21,95
2018-10-22,102
2018-10-23,110
2018-10-24,107
2018-10-25,83
2018-10-26,110
2018-10-27,98
2018-10-28,126
2018-10-29,89
2018-10-30,85
2018-10-31,114
2018-11-01,110
2018-11-02,101
2018-11-03,99
2018-11-04,84
2018-11-05,87
2018-11-06,81
2018-11-07,112
2018-11-08,104
2018-11-09,126
2018-11-10,101
2018-11-11,71
2018-11-12,80
2018-11-13,109
2018-11-14,103
2018-11-15,74
2018-11-16,117
2018-11-17,111
2018-11-18,96
2018-11-19,115
2018-11-20,97
2018-11-21,88
2018-11-22,55
2018-11-23,82
2018-11-24,86
2018-11-25,113
2018-11-26,108
2018-11-27,90
2018-11-28,93
2018-11-29,77
2018-11-30,90
2018-12-01,85
2018-12-02,85
2018-12-03,90
2018-12-04,90
2018-12-05,84
2018-12-06,90
2018-12-07,126
2018-12-08,81
2018-12-09,92
2018-12-10,89
2018-12-11,104
2018-12-12,102
2018-12-13,89
2018-12-14,101
2018-12-15,87
2018-12-16,107
2018-12-17,101
2018-12-18,101
2018-12-19,101
2018-12-20,101
2018-12-21,106
2018-12-22,106
2018-12-23,103
2018-12-24,79
2018-12-25,49
2018-12-26,83
2018-12-27,97
2018-12-28,105
